,City,State,Latitude,Longitude
9261,Doylestown (southeast of),OH,,
9262,Jersey City,NJ,,
9263,Loveland,CO,,
9264,West Chester,PA,,
9265,Moreno Valley,CA,,
9266,Yeehaw Junction,FL,,
9267,Fort Washington,MD,,
9268,Sullivan & Fenton,MO,,
9269,Murfreesboro,TN,,
9270,West Valley/I-80,UT,,
9271,Centreville (Bib Gish Lake),MI,,
9272,Nashville,TN,,
9273,Minot,ND,,
9274,Cherry Hill,NJ,,
9275,Brookings,OR,,
9276,Lansing,MI,,
9277,Roseville,MI,,
9278,Charlotte,MI,,
9279,Dayton,OH,,
9281,Tacoma,WA,,
9282,Jamesburg,NJ,,
9283,Mesquite,TX,,
9284,Nutrioso,AZ,,
9285,Dodgeville and Oconomowoc,WI,,
9287,Newburgh,NY,,
9288,Briarwood (Queens),NY,,
9290,Puyallup,WA,,
9291,Puyallup,WA,,
9292,Crestone,CO,,
9293,Jacksonville,OR,,
9294,Boston area,MA,,
9295,Rowland Heights,CA,,
9296,Worley (south of),ID,,
9297,North Plains,OR,,
9298,Raymond,NH,,
9299,Normandy Beach,NJ,,
9300,Lombard,IL,,
9301,"Washington, D.C.",DC,,
9303,Colorado Springs,CO,,
9304,Milton,VT,,
9305,Middle Island,NY,,
9306,Highland,NY,,
9307,Saint Paul,MN,,
9308,Iowa Park,TX,,
9309,Chicoe,CA,,
9310,Holdenville,OK,,
9311,Quartzsite,AZ,,
9312,Fernandina Beach,FL,,
9313,Reading`,PA,,
9314,Las Vegas,NV,,
9315,Irvine,CA,,
9316,New York City (Brooklyn),NY,,
9317,Dover,PA,,
9318,Pickens,SC,,
9319,Table Rock,SC,,
9320,Pickens,SC,,
9321,Bolton,NY,,
9322,Knoxville,TN,,
9323,Frankfort,KY,,
9324,Bedford,NY,,
9325,Bryson,CA,,
9326,Palatka (southeast of),FL,,
9327,Torrance,CA,,
9328,Monte Nido,CA,,
9329,Emeryville,CA,,
9330,Sioux Falls,SD,,
9331,Sterling Heights,MI,,
9332,Calhoun,GA,,
9333,Las Vegas,NV,,
9334,Littleton,CO,,
9335,Newark,DE,,
9336,Margaretville,NY,,
9337,Nacogdoches,TX,,
9338,Fort Riley,KS,,
9339,(observed from airplane),IN,,
9340,Leicester,NC,,
9341,Tarentum,PA,,
9342,Moundsville,WV,,
9343,Tacoma,WA,,
9344,Chicago,IN,,
9345,Chicago Heights,IL,,
9346,Bolingbrook,IL,,
9347,Hendersonville,TN,,
9349,Bellevue,WA,,
9350,Darrington,WA,,
9351,New York City,NY,,
9352,Michigan City,IN,,
9353,Las Vegas,NV,,
9354,Overland Park,KS,,
9355,Santa Fe,NM,,
9356,Tampa,FL,,
9357,San Diego,CA,,
9359,Keller,TX,,
9360,League City,TX,,
9361,Hilliard,OH,,
9362,Albuquerque,NM,,
9363,San Antonio,TX,,
9364,Tarpon Springs,FL,,
9365,Nashville,TN,,
9366,Waukesha,WI,,
9368,Seattle,WA,,
9369,Battle Ground,WA,,
9371,Otis,ME,,
9372,Duluth,MN,,
9374,Oregon City,OR,,
9375,Marion,IA,,
9378,Monterey,CA,,
9379,Battle Creek,MI,,
9380,Wood Lake,NE,,
9381,Denver,CO,,
9382,Arlington,TX,,
9383,Keene,TX,,
9384,"Rapid City, Sioux Falls",SD,,
9385,Philadelphia,PA,,
9386,Eugene,OR,,
9387,"Sioux Falls, SD",SD,,
9388,Tinker AFB,OK,,
9389,Defiance,OH,,
9390,Roca,NE,,
9391,Eagle Pass,TX,,
9392,,SD,,
9393,Marietta,GA,,
9394,Turkey Ridge,SD,,
9396,Garden City,KS,,
9398,Columbus,NE,,
9400,Warner Robins,GA,,
9401,Lake Havasu City,AZ,,
9402,New York City,NY,,
9403,Shepherd,TX,,
9404,Kenosha,WI,,
9405,Casselberry,FL,,
9406,Londonderry,NH,,
9407,Baton Rouge,LA,,
9408,Medford,OR,,
9410,Kansas City,KS,,
9411,Hanford,CA,,
9412,Hemet,CA,,
9413,Brentwood,NY,,
9414,Merritt Island,FL,,
9415,Williamsville,NY,,
9416,Bozeman,MT,,
9417,Everett,WA,,
9418,Warner Robins,GA,,
9419,Las Vegas,NV,,
9420,Orlando,FL,,
9422,Overland Park,KS,,
9423,Wellington,KS,,
9424,Hillsborough,NJ,,
9425,Cameron Park,CA,,
9426,Monterey,CA,,
9427,Stephan,SD,,
9428,Hurley (west of),SD,,
9429,Chisholm,MN,,
9430,Farmington,MO,,
9431,McKinney,TX,,
9432,Buford,GA,,
9433,Ocala,FL,,
9436,Morganton,GA,,
9437,Hagerstown (near),MD,,
9438,Chicago,IL,,
9439,Bucksport,ME,,
9440,Castile,NY,,
9441,Stoney Creek Metropark ?,MI,,
9442,Kingsport,TN,,
9443,South Amboy,NJ,,
9444,Dawsonville,GA,,
9445,Elk Grove,CA,,
9446,Eau Claire,WI,,
9449,Daphne,AL,,
9450,Holden,LA,,
9451,Rochester Hills,MI,,
9452,Mooresville,NC,,
9453,Maysville,KY,,
9454,Sanborn,NY,,
9455,Spring Lake Park,MN,,
9456,Zebulon,NC,,
9457,Las Vegas,NV,,
9458,Haslett,MI,,
9460,Highland County - Monterey,VA,,
9461,Columbia,MO,,
9462,Pittsfield,IL,,
9463,Ft. Thompson,SD,,
9464,Grand Rapids,MI,,
9465,Ellinwood,KS,,
9466,Glencoe,MN,,
9468,Cincinnati,OH,,
9469,Crown Hill,WV,,
9470,Rock Falls,WI,,
9471,Hayward,CA,,
9472,Houston (near; in flight sighting),TX,,
9473,Lamoni,IA,,
9474,Sacramento,CA,,
9475,Buckhead,GA,,
9477,Rock Creek Lake,CA,,
9478,Point Mugu,CA,,
9479,Fracisville,LA,,
9480,Peoria,IL,,
9481,Opal,WY,,
9482,Council Bluffs,IA,,
9483,Danville,CA,,
9484,Irving,TX,,
9485,Clinton Township,MI,,
9486,Keller,TX,,
9487,Keller,TX,,
9488,Roanoke,TX,,
9489,Keller,TX,,
9490,Southlake,TX,,
9491,Keller,TX,,
9492,North Richland Hills,TX,,
9493,Boca Raton,FL,,
9495,Phoenix,AZ,,
9496,Banks,OR,,
9497,"Hwy 168, Bristle Cone Pine Forrest",CA,,
9498,Brule,WI,,
9499,Joshua,TX,,
9500,Keller,TX,,
9502,Keller,TX,,
9503,Myrtle Beach,SC,,
9504,Hendersonvlle,TN,,
9505,Myrtle Beach,SC,,
9507,Los Angeles,CA,,
9508,Livermore,CA,,
9509,Austin,TX,,
9510,Clinton,NJ,,
9513,Chicago,IL,,
9514,Van Nuys,CA,,
9515,Cape Canaveral,FL,,
9516,Marysville,WA,,
9517,Gulf Of Mexico,TX,,
9519,Utica,NY,,
9520,Southbridge,MA,,
9521,Kingston,NY,,
9522,Ridgefield,CT,,
9524,Wheaton,MD,,
9526,Tucson/Marana,AZ,,
9527,Lincoln Beach,OR,,
9528,Wichita,KS,,
9529,Myrtle Beach,SC,,
9530,Mission,SD,,
9531,Wolf Point,MT,,
9532,Bremerton,WA,,
9534,Columbia,MO,,
9535,New York City,NY,,
9536,Aurora,CO,,
9537,Worcester,MA,,
9538,Sacramento,CA,,
9539,Waterford,MI,,
9540,Colorado Springs,CO,,
9541,Virginia Beach,VA,,
9542,Heber,AZ,,
9543,Chicago,IL,,
9544,Blairstown,NJ,,
9545,Surprise,AZ,,
9546,Little Rock,AR,,
9547,Barbourville,KY,,
9548,Redondo Beach,CA,,
9549,Honolulu,HI,,
9550,Las Vegas,NV,,
9551,Birch Bay,WA,,
9555,Westfir,OR,,
9556,Seattle,WA,,
9557,Irvine/Newport Beach,CA,,
9559,Kennewick,WA,,
9560,Mooresville,NC,,
9562,Marysville,WA,,
9563,Los Angeles,CA,,
9564,Ashland,OR,,
9565,Fairfax,VA,,
9566,Henderson,NV,,
9567,Katy,TX,,
9571,VanCleave,MS,,
9572,Hudson,WI,,
9573,Dingmans Ferry,PA,,
9574,Rogers,AR,,
9575,Houston,TX,,
9576,Irvine,CA,,
9577,York,PA,,
9578,Irvine,CA,,
9579,Appleton,WI,,
9580,Indiana/Ohio (in flight),IN,,
9581,West Los Angeles,CA,,
9583,Fort Washington,PA,,
9584,Arcadia,FL,,
9585,New York City,NY,,
9586,Sedalia,MO,,
9587,Ogden,UT,,
9589,Gulf Shores,AL,,
9590,Tega Cay,SC,,
9591,Frankfort,IL,,
9592,Seattle,WA,,
9594,Clackamas,OR,,
9595,Carlton,OR,,
9596,Melbourne,KY,,
9598,Northglenn,CO,,
9599,Van Alstyne,TX,,
9600,Fleming,CO,,
9601,Duluth,MN,,
9602,Grove City,PA,,
9603,Houston,TX,,
9604,Jensen Beach,FL,,
9605,Vero Beach,FL,,
9606,Conyers,GA,,
9607,West Palm Beach florida,FL,,
9608,Starrsville (Covington),GA,,
9609,Kirkland,WA,,
9610,Austin,TX,,
9611,Downingtown,PA,,
9612,Owego,NY,,
9613,Indio,CA,,
9614,Bakersfield,CA,,
9615,Jacksonville,FL,,
9616,Denver,CO,,
9617,Haskell,TX,,
9618,Lebanon,OR,,
9619,Stockbridge,GA,,
9620,Rolla,MO,,
9621,Murfreesboro,TN,,
9622,Omaha,NE,,
9623,Pella,IA,,
9624,Fulton,MO,,
9625,Waynesville,NC,,
9626,Toledo,OH,,
9627,Madison,KS,,
9628,Plano,TX,,
9629,Mission Viejo,CA,,
9630,Loveland,CO,,
9631,Bufod,GA,,
9633,Claremont,CA,,
9634,Lake Bluff,IL,,
9635,Newport,NC,,
9637,Toledo,OH,,
9638,Madison,VA,,
9639,Hanover,PA,,
9640,Oklahoma City,OK,,
9642,Hartsville,SC,,
9643,Amarillo,TX,,
9644,Irvine,CA,,
9646,Quincy,CA,,
9647,New Albany,PA,,
9648,Reading,PA,,
9649,Long Beach,CA,,
9650,Laguna Hills,CA,,
9651,Riverside,CA,,
9652,Lakewood,CA,,
9653,Manteca (above; in flight),CA,,
9654,Poplarville,MS,,
9655,Poplarville,MS,,
9656,York,PA,,
9657,Hilliard,OH,,
9658,Glenside,PA,,
9660,Los Angeles,CA,,
9661,Willow,AK,,
9664,Walton,KY,,
9665,Mountain View,CA,,
9666,Sedalia,CO,,
9667,Woodstock,IL,,
9668,Huntington Beach,CA,,
9669,Boonville,IN,,
9670,Arlington Heights,IL,,
9671,Franklinton,LA,,
9672,Brownlee (southwest of),NE,,
9673,Oak View,CA,,
9674,Johnstown,NE,,
9675,New York City (upstate),NY,,
9676,LaCrosse,FL,,
9677,Topeka,KS,,
9678,Van Alstyne,TX,,
9679,Omaha,NE,,
9680,Rolla,MO,,
9681,Clifton Forge,VA,,
9682,Quincy,CA,,
9683,Milton-Freewater,OR,,
9684,Chandler,AZ,,
9685,Unity,ME,,
9686,Clemmons,NC,,
9687,Salem,OR,,
9688,Clemmons,NC,,
9689,Selah,WA,,
9690,Houston,TX,,
9692,Danbury,CT,,
9693,Austin,TX,,
9694,Rapid City,SD,,
9695,Boyne Falls,MI,,
9696,Browder,KY,,
9697,Denver/Aurora,CO,,
9698,Toledo,OH,,
9699,Burkeville,VA,,
9700,Ann Arbor,MI,,
9701,Otis,OR,,
9702,Detroit,MI,,
9703,Taos,NM,,
9704,Crossville,TN,,
9705,Rockport-Fulton,TX,,
9706,Lima,OH,,
9707,Chicago,IL,,
9708,Columbia,MO,,
9709,Chatham,IL,,
9710,Burnsville,MN,,
9711,Arlington,TX,,
9712,Canton Township,MI,,
9713,Mount Vernon /Pelham,NY,,
9714,North Bend,WA,,
9715,Plattsmouth,NE,,
9716,Mora,MN,,
9717,Tennessee Ridge,TN,,
9718,High Point,NC,,
9719,High Springs,FL,,
9720,Avon Park,FL,,
9721,Colorado Springs,CO,,
9722,VA/Atlantic Coast (aboard USN ship),VA,,
9724,Lubec,ME,,
9725,Cottonwood,AZ,,
9726,Houston,TX,,
9727,Murrysville,PA,,
9728,Claremont,CA,,
9729,Everett,WA,,
9730,Metairie,LA,,
9731,Stanton,MI,,
9732,Dublin,CA,,
9733,Ballinger,TX,,
9734,Deer Park,NY,,
9735,Sanford,FL,,
9736,Tryon,NC,,
9738,Ewa Beach,HI,,
9739,Youngstown,FL,,
9740,Beulaville,NC,,
9741,Granville,OH,,
9742,Litchfield,IL,,
9743,Charlotte,NC,,
9744,Gadsden,AL,,
9745,Sautee Nacoochee,GA,,
9748,Dayton,OH,,
9749,Los Angeles,CA,,
9750,Escondido,CA,,
9751,Arlington,OH,,
9752,Forsyth,GA,,
9753,Sandy Hook,MS,,
9754,Heath,OH,,
9755,Heath,OH,,
9756,North Palm Beach,FL,,
9757,Monroe,WA,,
9758,Taft,CA,,
9759,Glen Burnie,MD,,
9760,Fayetteville,AR,,
9761,Boise,ID,,
9763,Attleboro,MA,,
9764,Stanislaus/Calaveras Counties (rural),CA,,
9765,Aurora,CO,,
9766,Kirtland,OH,,
9767,Duluth,MN,,
9768,Cocoa Beach,FL,,
9769,Bloomington,IL,,
9770,Modesto,CA,,
9771,Boiling Springs,PA,,
9772,Greencastle,PA,,
9773,Williamston,SC,,
9774,Warwood,WV,,
9775,Danbury,CT,,
9776,Kings Mountain,NC,,
9777,Charleroi,PA,,
9778,Mount Vernon,MO,,
9779,Austin,TX,,
9780,Gainesville,GA,,
9781,San Diego (Clairmont),CA,,
9782,Mount Pleasant,MI,,
9783,Mundelein,IL,,
9784,Pearland,TX,,
9785,Chicago,IL,,
9787,San Diego area (on highway; beside Camp Pendleton),CA,,
9788,Rabun Gap,GA,,
9789,Lumberton,TX,,
9790,Colorado Springs,CO,,
9791,Tipton,MO,,
9792,Chippewa Falls,WI,,
9793,Winter Park,FL,,
9794,Rockdale,TX,,
9795,Suwanee/Gwinnett County,GA,,
9798,Houston,TX,,
9799,Buena Park,CA,,
9800,East Dublin,GA,,
9801,Houston,TX,,
9802,Islip,NY,,
9803,Chino,CA,,
9804,Tacoma,WA,,
9805,Tacoma,WA,,
9806,Pauls Valley/Maysville (between; Highway 19),OK,,
9807,St. Augustine,FL,,
9808,Wyoming,RI,,
9809,Winnemucca,NV,,
9811,San Diego,CA,,
9812,Mission Hills,CA,,
9813,Mountain House,CA,,
9814,North Bergen,NJ,,
9815,Lake Havasu City,AZ,,
9816,New York City (Manhattan),NY,,
9817,Corona,CA,,
9818,East Falmouth,MA,,
9819,Cedar Rapids,IA,,
9820,San Diego,CA,,
9821,San Diego,CA,,
9822,Chantilly/Centreville,VA,,
9823,Interstate 84 eastbound; Exit 147,OR,,
9824,Fort Washington,PA,,
9825,Battle Ground,WA,,
9826,New York City (Queens),NY,,
9827,Grove,OK,,
9828,Wawina,MN,,
9830,Lewes,DE,,
9831,Lewes,DE,,
9832,Delran,NJ,,
9833,Land O'Lakes,FL,,
9834,Pennsauken,NJ,,
9835,Wellington,FL,,
9836,Sommerset,OH,,
9837,Seligman,AZ,,
9838,Clearwater,FL,,
9839,San Diego,CA,,
9840,Denton,TX,,
9841,Enon,OH,,
9842,Gastonia,NC,,
9843,Carmichael,CA,,
9844,Huntington Station,NY,,
9845,St. Marys,GA,,
9846,Fort Pierce,FL,,
9847,New River,AZ,,
9848,Bell Buckle,TN,,
9849,Philadelphia,PA,,
9850,Reno,NV,,
9852,Death Valley,CA,,
9853,Plano,TX,,
9854,Modesto,CA,,
9855,Coto de Caza,CA,,
9856,Kennebec,SD,,
9857,Huntsville,AL,,
9858,Buffalo,NY,,
9859,Grapevine,TX,,
9860,Palestine,TX,,
9861,Lake Wales,FL,,
9862,Pittsboro,NC,,
9863,Palm Springs,CA,,
9866,Rochester,NY,,
9867,Chevy Chase,MD,,
9869,Monee,IL,,
9870,Winter Haven,FL,,
9871,Lakeland,FL,,
9872,Bartow,FL,,
9873,Lake Wales (area),FL,,
9874,Winter Haven,FL,,
9875,Sebastopol,CA,,
9876,New York City (Staten Island),NY,,
9877,Wauwatosa,WI,,
9878,Lowell,AR,,
9879,Rogers,AR,,
9883,Chillicothe,OH,,
9884,Blue Springs,MO,,
9885,Delran,NJ,,
9886,Plano,TX,,
9887,Detroit,MI,,
9888,Madison,VA,,
9889,Braintree,VT,,
9890,Attleboro,MA,,
9891,Terre Haute,IN,,
9892,Hurst,TX,,
9894,Jessup,GA,,
9895,Watermill,NY,,
9896,Sacramento,CA,,
9897,Sandy Hook,MS,,
9898,Rome,GA,,
9899,Albuquerque,NM,,
9900,Lafayette,LA,,
9901,Richmond Hill,GA,,
9902,Scranton/Dunmore,PA,,
9903,Benson,AZ,,
9904,Staunton,VA,,
9905,Wichita,KS,,
9906,La Crescenta,CA,,
9907,Savannah,GA,,
9908,Monterey,CA,,
9909,Biloxi,MS,,
9910,San Diego,CA,,
9911,San Diego,CA,,
9912,Gulfport,MS,,
9913,Claverack,NY,,
9914,Lincoln,NE,,
9915,Los Angeles,CA,,
9917,Sedona,AZ,,
9918,Sweeny,TX,,
9919,Sumrall,MS,,
9920,San Marcos,CA,,
9921,Lake Worth,TX,,
9922,Everett,WA,,
9923,Guthrie,OK,,
9924,Shoreline,WA,,
9925,San Diego,CA,,
9926,San Diego,CA,,
9927,San Diego,CA,,
9928,Cathedral City,CA,,
9929,Peach Tree City,GA,,
9930,Lincoln City,OR,,
9932,McDonough,GA,,
9933,Palm Springs,CA,,
9935,Montebello,CA,,
9936,Elk Grove,CA,,
9937,Ka'anapali,HI,,
9938,Stillwater,OK,,
9939,San Diego,CA,,
9941,Fullerton,CA,,
9942,Pass Christian,MS,,
9943,Sumter,SC,,
9945,Irvine,CA,,
9946,Lake Havasu City,AZ,,
9947,Kingman,AZ,,
9948,East Fishkill,NY,,
9949,Live Oak,FL,,
9951,Savannah,GA,,
9952,Adairsville,GA,,
9953,Kemah/League City,TX,,
9954,Acworth,GA,,
9955,Cut Bank,MT,,
9956,Lompoc,CA,,
9957,Twin Falls,ID,,
9958,Dublin,CA,,
9960,Royal Palm Beach,FL,,
9961,Spokane Valley,WA,,
9962,Springfield,VA,,
9963,San Antonio,TX,,
9964,Boston,MA,,
9965,Las Vegas,NV,,
9966,Lakeville,MA,,
9967,Lynnfield,MA,,
9968,Palm Beach Gardens,FL,,
9969,La Conner,WA,,
9970,Sebastian,FL,,
9971,San Diego,CA,,
9972,Stuart,FL,,
9973,Jacksonville,FL,,
9974,Jacksonville,FL,,
9975,Simpsonville,SC,,
9976,Springfield,VA,,
9977,Canyon Lake,TX,,
9978,Pasadena,CA,,
9980,Roanoke,VA,,
9981,Pleasant Hill,CA,,
9982,Galt,CA,,
9983,Bartlett,TN,,
9984,Redding,CA,,
9985,Los Angeles,CA,,
9986,Redondo Beach,CA,,
9987,Westboro,MO,,
9988,Franklin Furnace,OH,,
9989,Frisco,TX,,
9990,Summerland Key,FL,,
9991,Destin,FL,,
9992,Indian Trail,NC,,
9993,Eldorado,TX,,
9994,Aiken,SC,,
9996,Aztec,NM,,
9997,Mobile,AL,,
9998,El Cajon,CA,,
9999,Newark,DE,,
10000,Highspire,PA,,
10001,Emmaus,PA,,
10002,Crete,IL,,
10003,Omaha,NE,,
10004,Silver Spring,MD,,
10005,Lancaster,PA,,
10006,Cleveland,OH,,
10007,Baytown,TX,,
10008,Mesa,AZ,,
10010,Andover,MN,,
10011,Goshen,NY,,
10012,Springfield,OH,,
10013,Edina,MN,,
10014,Rancho Santa Margarita,CA,,
10015,Burbank (over area),CA,,
10016,Morgan Hill,CA,,
10017,San Jose,CA,,
10018,Grand Haven,MI,,
10019,Cedar,UT,,
10020,Tarzana,CA,,
10021,Goodyear,AZ,,
10022,Providence,RI,,
10023,Brooksville (10 miles east of),FL,,
10024,Sea Isle City,NJ,,
10025,Orlando,FL,,
10026,Louisville,KY,,
10027,Chicago,IL,,
10028,Bowling Green,KY,,
10029,White Sand Missile Range - North Ocuro Peak,NM,,
10030,Alexandria,VA,,
10031,Auburn,MI,,
10032,Savannah (Wilmington Island),GA,,
10033,Colorado Springs,CO,,
10034,Tonopah,NV,,
10035,Anchorage,AK,,
10037,Springfield,IL,,
10038,Westminster,CO,,
10039,Mount Vernon,WA,,
10040,Lower Lake,CA,,
10041,Simsbury,CT,,
10042,Lincolnton,NC,,
10043,Western Springs,IL,,
10044,Kansas City,KS,,
10045,Bishop,CA,,
10046,Norman,OK,,
10047,Louisville,KY,,
10048,Lincoln,CA,,
10049,Madera,CA,,
10050,Youngsville,NM,,
10051,White Bluff,TN,,
10052,Montpelier,OH,,
10054,Midwest City,OK,,
10055,Louisville,KY,,
10056,Fullerton,CA,,
10057,Corona del Mar,CA,,
10058,Corona del Mar,CA,,
10059,Lubbock,TX,,
10060,Parkland,WA,,
10061,,TX,,
10062,Salem,OR,,
10063,Cedar Falls,IA,,
10064,Wesley Chapel,FL,,
10065,Quincy,CA,,
10066,Bunnell,FL,,
10067,Ocilla,GA,,
10068,New Rochelle,NY,,
10069,Silverton,OR,,
10070,Powell,WY,,
10072,Chicago,IL,,
10073,Land O'Lakes,FL,,
10074,Mullia Hill,NJ,,
10075,Lake Worth,FL,,
10076,Benson,NC,,
10077,Corona,CA,,
10079,Portland,OR,,
10080,New York City (Manhattan),NY,,
10081,Grand Rapids,OH,,
10082,Cimarron,KS,,
10083,San Francisco,CA,,
10084,Alice,TX,,
10085,McDonough,GA,,
10086,Omaha,NE,,
10087,Santa Margarita/Irvine,CA,,
10088,Hyannis,MA,,
10089,Hershey,NE,,
10090,Gig Harbor,WA,,
10091,Powder Springs,GA,,
10092,Eagle Mountain,UT,,
10093,Rocklin,CA,,
10094,Discovery Bay,CA,,
10095,Discovery Bay,CA,,
10096,Indio,CA,,
10097,Ely,MN,,
10098,Beaver,PA,,
10099,Freehold,NJ,,
10101,San Antonio,TX,,
10102,New Port Richey,FL,,
10103,Normal,IL,,
10105,Mars Hill,NC,,
10106,Franklin Park,IL,,
10108,Las Cruces,NM,,
10109,St. Louis,MO,,
10110,Leslie County,KY,,
10111,Wooten,KY,,
10112,Hazard,KY,,
10113,Newport Beach,CA,,
10114,Pleasanton,CA,,
10115,Pleasanton,CA,,
10116,Jacksonville,FL,,
10117,Hertford,NC,,
10118,San Rafael,CA,,
10119,Kit Carson,CO,,
10120,Erving,MA,,
10121,Topsfield,MA,,
10122,Seal Rock,OR,,
10123,Lafayette,LA,,
10124,Blue Springs,MO,,
10125,Blue Springs,MO,,
10126,Smyrna,DE,,
10127,Plymouth,MA,,
10128,Freehold Township,NJ,,
10129,Myrtle Beach,SC,,
10130,Santa Monica,CA,,
10131,Palm Coast,FL,,
10133,San Carlos (of San Diego),CA,,
10134,Carrollton,TX,,
10135,Groves,TX,,
10136,San Diego,CA,,
10137,Pilot Knob,MO,,
10138,Lake Toxaway,NC,,
10140,Daniels,WV,,
10141,McKinney,TX,,
10142,Los Angeles,CA,,
10143,San Diego,CA,,
10144,Cairo,GA,,
10145,Green Valley,AZ,,
10147,Antioch,CA,,
10149,Brooksville,FL,,
10150,Salina,KS,,
10151,Englewood,FL,,
10152,Vista,CA,,
10153,Santa Rosa,CA,,
10156,Spokane,WA,,
10157,Braintree,VT,,
10158,Perth Amboy,NJ,,
10159,Palm Desert,CA,,
10161,Altoona,IA,,
10162,Phoenix/Glendale (over),AZ,,
10164,Silverdale,WA,,
10165,Ashland,MO,,
10166,Carlsbad,CA,,
10167,Plano,TX,,
10168,North Kansas City,MO,,
10169,Vista,CA,,
10171,Omaha,NE,,
10172,Westwood,CA,,
10173,Hacienda Heights,CA,,
10174,Bay City,TX,,
10176,Nacogdoches,TX,,
10177,Satellite Beach,FL,,
10178,Vernon,AZ,,
10180,VA/GA (between; on I-20),SC,,
10181,Phoenix,AZ,,
10182,Garland,TX,,
10183,Braintree,VT,,
10185,Moneta,VA,,
10186,Irvine,CA,,
10188,Clovis,CA,,
10189,Mountains (near Yakima/Klicktat County Line),WA,,
10190,Klickitat Yakima County Line,WA,,
10192,Grants Pass,OR,,
10194,Burbank,CA,,
10195,Chicago,IL,,
10196,Cut Off,LA,,
10197,Pensacola,FL,,
10199,Mendham,NJ,,
10201,Memphis,TN,,
10202,Longmont,CO,,
10203,Lakewood,CO,,
10204,Windermere,FL,,
10206,Moneta,VA,,
10207,East Moline,IL,,
10208,New York City,NY,,
10209,Alta Loma,CA,,
10210,Van Nuys,CA,,
10211,Brownsville,TX,,
10212,Phila./Camden,PA,,
10213,Missouri (from passenger train),MO,,
10214,Pataskala,OH,,
10215,Bountiful,UT,,
10216,Tustin,CA,,
10217,San Martin,CA,,
10218,Chester,VA,,
10219,Lesslie,SC,,
10220,Bowie,MD,,
10221,Bowie,MD,,
10222,Salem,VA,,
10223,Lake Providence,LA,,
10224,Los Alamos,CA,,
10225,Los Angeles,CA,,
10226,Chicago,IL,,
10227,San Marino,CA,,
10228,Las Vegas,NV,,
10229,Los Angeles,CA,,
10230,Blairs,VA,,
10232,Harrisonburg,VA,,
10233,Peoria,AZ,,
10234,San Diego,CA,,
10235,Mount Pleasant,PA,,
10237,Warrendale,PA,,
10238,San Diego,CA,,
10239,San Diego,CA,,
10240,Dingmans Ferry,PA,,
10241,El Reno,OK,,
10242,Tucson,AZ,,
10243,Flushing,NY,,
10244,El Centro,CA,,
10245,Honolulu,HI,,
10247,Houston,TX,,
10248,West Palm Beach,FL,,
10249,Bear,DE,,
10250,St. Louis,MO,,
10251,St. Louis,MO,,
10252,Phoenix,AZ,,
10253,Portland,TX,,
10254,Frankfort,IL,,
10255,Gilbert,AZ,,
10256,St. Petersburg,FL,,
10258,Miami,OK,,
10259,Rigby,ID,,
10260,Fresno,CA,,
10261,Irvine,CA,,
10262,Mission Viejo/Lake Forest,CA,,
10263,Sterling Heights,MI,,
10264,El Paso,TX,,
10266,Randolph,NE,,
10267,Lehigh Acres,FL,,
10268,Corpus Christi,TX,,
10269,Charlottesville,VA,,
10270,Carrollton,KY,,
10271,Tampa/Leesburg (between),FL,,
10272,Duncan,OK,,
10273,Los Angeles,CA,,
10274,Independence,KY,,
10275,Havana,FL,,
10276,Boulder,CO,,
10277,Boulder,CO,,
10278,Hummelstown,PA,,
10279,San Lucas,CA,,
10281,Lake Wales,FL,,
10282,Newark,DE,,
10283,Durango,CO,,
10284,El Cerrito,CA,,
10285,Lakewood Ranch,FL,,
10286,Lakeland,FL,,
10287,Wilkes-Barre,PA,,
10288,Loves Park,IL,,
10289,Halifax,PA,,
10290,Sterling,VA,,
10291,Littleton,NH,,
10292,Braintree,VT,,
10293,Manhattan Beach,CA,,
10294,Breinigsville,PA,,
10295,Clifton Forge,VA,,
10296,Santa Barbara/Goleta,CA,,
10297,Mayslanding,NJ,,
10298,Cary,NC,,
10299,Springerville,AZ,,
10300,Newark,DE,,
10301,Harrisburg,PA,,
10302,Kingsland,GA,,
10303,Elmhurst,NY,,
10304,Tinley Park,IL,,
10306,Sacramento,CA,,
10307,Orland,CA,,
10308,Chattanooga,TN,,
10309,Destin,FL,,
10310,Port Allegany,PA,,
10311,Cheney,WA,,
10312,Jacksonville,OR,,
10313,Delray Beach,FL,,
10315,Summerville,SC,,
10316,Raleigh,NC,,
10317,Birmingham,AL,,
10318,Los Angeles,CA,,
10319,Philadelphia,PA,,
10320,Ashville,OH,,
10321,Bellingham,WA,,
10322,Harrisburg,PA,,
10323,Manheim,PA,,
10324,Palmyra,PA,,
10325,Hershey,PA,,
10326,"Columbia, Wrightsville",PA,,
10327,Harrisburg,PA,,
10328,Enola,PA,,
10329,Anneville,PA,,
10330,Charlotte,NC,,
10331,Los Angeles,CA,,
10332,Benton,MS,,
10333,Conway,SC,,
10334,Isla Vista (UCSB),CA,,
10335,Westlake & Hardy,VA,,
10336,Cincinnati,OH,,
10337,Cameron,WV,,
10339,North East,MD,,
10340,Bell Buckle,TN,,
10341,Madison,AL,,
10342,Madison,AL,,
10343,Tallahassee,FL,,
10344,Santa Ana,CA,,
10345,Stony Point,NY,,
10346,Chico,CA,,
10348,Mashpee,MA,,
10349,Pyramid Lake,NV,,
10350,Iron River,MI,,
